<<<<<<< HEAD
Date,Description,Amount,Type
2022-04-13,Zomato 4400,4086.47,Debit
2024-05-10,Rent 5067,349.04,Debit
2022-04-10,Zomato 5517,329.69,Credit
2024-02-09,Rent 9343,1164.87,Credit
2024-05-06,Gym 9407,2275.66,Debit
2023-07-17,Electricity 6525,228.74,Credit
2022-09-01,Gym 2858,1173.36,Credit
2024-04-20,Gym 1643,1336.37,Credit
2022-10-01,Electricity 2760,4151.21,Credit
2023-03-31,Uber 9450,3869.65,Credit
2023-07-20,Rent 1519,3645.13,Credit
2022-04-16,Swiggy 1565,338.29,Debit
2023-12-04,Rent 2702,1716.64,Debit
2023-04-07,Flipkart 1545,1876.36,Debit
2024-03-02,Swiggy 9296,2239.81,Debit
2024-02-03,Flipkart 8560,721.0,Debit
2023-01-15,Rent 6980,1991.82,Debit
2022-03-06,Swiggy 3907,4305.62,Credit
2024-05-06,Electricity 7175,382.99,Debit
2024-04-18,Electricity 9559,1281.97,Credit
2023-11-06,Uber 4327,1971.47,Debit
2023-05-05,Gym 7830,4353.99,Credit
2022-02-10,Gym 9165,1240.62,Debit
2022-01-28,Uber 8169,1039.72,Debit
2022-02-02,Uber 7577,43.73,Credit
2024-01-09,Flipkart 9733,2091.28,Debit
2022-01-05,Flipkart 9283,3760.78,Credit
2023-05-18,Gym 9881,1009.18,Credit
2023-02-02,Uber 5288,468.63,Credit
2024-05-07,Rent 9548,1905.04,Credit
2023-07-29,Gym 3301,4442.2,Debit
2022-08-29,Swiggy 5738,1755.88,Debit
2023-04-30,Swiggy 8147,2487.29,Debit
2022-02-05,Rent 6793,2505.67,Debit
2024-03-06,Amazon 7995,1968.42,Debit
2022-12-14,Zomato 1851,3092.12,Debit
2023-09-20,Salary 4742,3490.2,Credit
2023-12-11,Amazon 6524,3122.87,Debit
2022-08-22,Gym 2218,2696.9,Debit
2023-01-22,Salary 3135,2458.42,Credit
2023-07-20,Flipkart 6788,582.05,Debit
2023-12-11,Rent 1067,628.58,Debit
2022-05-03,Swiggy 6106,3543.99,Debit
