Date,Description,Amount,Type
13-Apr-2022,Zomato 4400,4086.47,debit
2023-03-12,Amazon 1649,1624.71,Credit
10-May-2024,Rent 5067,349.04,Debit
09/28/2022 00:00,Electricity 5299,1014.5,
"April 17, 2022",Uber 3404,767.17,debit
2022-03-13,Flipkart 6598,2367.05,credit
2023-12-02,Rent 1207,4523.35,
2022-01-21,Swiggy 1272,1561.53,debit
07-Sep-2023,Zomato 9564,2590.06,
2022-05-02,Amazon 6080,4077.21,Credit
2023-04-12,Electricity 4258,4356.77,Credit
"August 03, 2022",Swiggy 7676,1398.28,Debit
11/27/2022 00:00,Salary 7274,2621.29,Debit
2023-04-04,Amazon 4745,1289.2₹,Credit
03/29/2022 00:00,Gym 1581,2103.14,Debit
08-Jan-2023,Amazon 1254,1967.65,
10-Apr-2022,Zomato 5517,329.69,Credit
2024-05-21,Uber 2293,146.43,Credit
"October 26, 2023",Rent 6037,3093.39,debit
05/11/2022 00:00,Uber 3455,867.28,credit
"October 24, 2023",Flipkart 8794,750.28,
2022-11-05,Gym 7822,1797.25,debit
09-Feb-2024,Rent 9343,1164.87,Credit
"December 10, 2022",Uber 8699,3729.93,Debit
2023-05-07,Amazon 4155,3249.87,Debit
"February 18, 2023",Amazon 6027,4812.26,debit
2024-03-16,Gym 1256,2016.09,debit
2023-01-21,Amazon 9253,142.39,Debit
"July 11, 2022",Flipkart 9025,4235.78,credit
10/04/2022 00:00,Salary 7977,622.29,Credit
"June 10, 2022",Gym 7064,1351.29,Credit
"April 05, 2023",Amazon 1563,3155.69,credit
11/10/2022 00:00,Rent 1432,2313.36₹,
2022-01-22,Amazon 7877,3462.49,Credit
2022-09-10,Uber 3520,977.0,
01/18/2024 00:00,Zomato 4228,2931.58,Debit
06-May-2024,Gym 9407,2275.66,Debit
2023-07-15,Swiggy 5840,2940.43,Credit
"April 20, 2023",Uber 6316,4411.15,
02/28/2022 00:00,Gym 4803,2671.95,debit
"May 26, 2023",Salary 2126,3707.27,credit
11/13/2023 00:00,Zomato 5267,3722.98,credit
2023-04-21,Rent 4470,3313.72,
2023-12-01,Swiggy 9921,2422.21,credit
02/22/2024 00:00,Rent 8527,26.85,
"July 09, 2022",Amazon 9234,614.58,
"November 18, 2023",Rent 3841,2720.08,Credit
17-Jul-2023,Electricity 6525,228.74,Credit
05/25/2024 00:00,Swiggy 5866,235.97,debit
07/21/2023 00:00,Amazon 1618,639.36,Credit
01-Sep-2022,Gym 2858,1173.36,Credit
2024-04-11,Electricity 7579,4998.15,Credit
05/20/2023 00:00,Amazon 1915,610.44,Credit
05/11/2022 00:00,Amazon 1886,1363.29,Debit
"April 30, 2023",Uber 1977,3417.48,debit
03/29/2024 00:00,Flipkart 5102,3386.59,Credit
"October 09, 2023",Uber 9672,4375.15,Debit
"January 21, 2022",Rent 3967,3057.25,credit
20-Apr-2024,Gym 1643,1336.37,credit
16-Jun-2022,Uber 1586,1203.69,
01-Oct-2022,Electricity 2760,4151.21,Credit
"January 23, 2023",Rent 2522,497.93,Credit
08/24/2023 00:00,Zomato 5604,2409.53,debit
11/12/2022 00:00,Amazon 9364,2419.3,Debit
2022-01-14,Electricity 4063,3697.65,debit
08/30/2022 00:00,Zomato 1045,4977.52,credit
16-Feb-2024,Amazon 8023,2486.46,
12-Dec-2022,Amazon 4808,3879.29,
2023-07-19,Flipkart 6879,4259.1,Credit
"June 16, 2024",Rent 7655,180.09,Debit
12/06/2022 00:00,Electricity 2506,3182.4,Debit
2022-04-02,Gym 7630,4423.01,credit
01/02/2023 00:00,Flipkart 6490,3605.01₹,credit
31-Mar-2023,Uber 9450,3869.65,credit
03/04/2023 00:00,Flipkart 4136,4056.59,Credit
2023-05-24,Swiggy 4157,106.88,credit
2024-02-15,Flipkart 8456,4645.02,debit
2022-02-04,Electricity 1215,4532.09,debit
2022-07-25,Electricity 6966,3010.5,Credit
2022-03-22,Swiggy 6523,1750.64,Credit
"July 16, 2023",Swiggy 7822,1851.34,debit
"May 21, 2024",Zomato 7590,2680.89,Debit
01/23/2023 00:00,Swiggy 3533,1465.41,Debit
"January 02, 2022",Rent 7605,2834.6,
01/25/2023 00:00,Gym 4719,3093.37₹,credit
20-Jul-2023,Rent 1519,3645.13,credit
16-Apr-2022,Swiggy 1565,338.29,debit
02/11/2024 00:00,Rent 6666,343.14,credit
2024-04-01,Electricity 2523,4613.33,Debit
"April 22, 2023",Salary 2203,3725.08,
04-Dec-2023,Rent 2702,1716.64,Debit
"February 06, 2023",Flipkart 3067,error,Debit
"December 31, 2023",Flipkart 3262,3050.77,credit
2023-07-10,Gym 9406,1252.64₹,credit
06/11/2022 00:00,Uber 1814,299.77,credit
07/21/2022 00:00,Rent 8284,3777.75,debit
2022-09-27,Rent 7465,4883.58,Debit
05/12/2024 00:00,Electricity 9749,3738.3,Credit
"March 26, 2024",Electricity 3374,569.43₹,
2022-09-28,Flipkart 4878,1845.03,Debit
2023-04-01,Salary 8237,1248.61,credit
07-Apr-2023,Flipkart 1545,1876.36,Debit
"December 28, 2023",Flipkart 7160,2792.24,Debit
09/09/2022 00:00,Uber 6544,3177.89,credit
12/03/2023 00:00,Gym 8519,1547.9,debit
2022-10-23,Flipkart 8901,3374.54,
2023-12-26,Zomato 7267,3424.8,debit
2023-12-21,Zomato 2167,4965.46,
01/19/2024 00:00,Salary 9448,2410.63,debit
"December 04, 2022",Swiggy 2323,1650.44,
"May 28, 2024",Swiggy 2345,4290.69,credit
2022-02-22,Flipkart 5674,849.26,Credit
02-Mar-2024,Swiggy 9296,2239.81,Debit
08/05/2022 00:00,Amazon 4279,3136.44,Debit
03-Feb-2024,Flipkart 8560,721.0,debit
07/07/2022 00:00,Flipkart 5362,282.42,debit
15-Jan-2023,Rent 6980,1991.82,Debit
05/08/2023 00:00,Electricity 7802,1755.96,Credit
"February 10, 2022",Amazon 7445,error,Debit
06/06/2022 00:00,Flipkart 6016,2670.38,debit
01/15/2022 00:00,Amazon 8143,123.25,
03/23/2024 00:00,Zomato 7011,4596.42,debit
06-Mar-2022,Swiggy 3907,4305.62,credit
06-May-2024,Electricity 7175,382.99,Debit
18-Apr-2024,Electricity 9559,1281.97,credit
2023-06-05,Gym 4326,3122.9,Debit
12/10/2022 00:00,Gym 4815,910.34,debit
05/09/2022 00:00,Uber 4599,4869.37,Credit
10/10/2023 00:00,Salary 3407,2109.32,Debit
04/17/2023 00:00,Swiggy 6097,3525.77,Credit
"March 04, 2022",Amazon 9563,2560.98,
2022-05-19,Uber 5726,1548.49,credit
05/14/2023 00:00,Uber 7087,3487.68,debit
2023-08-16,Amazon 7837,2382.14,credit
"January 27, 2023",Gym 3169,3182.64,debit
06-Nov-2023,Uber 4327,1971.47,debit
2023-02-23,Flipkart 7989,4986.78,credit
2022-10-16,Zomato 1926,1040.96,Debit
"January 14, 2023",Zomato 3770,923.71₹,credit
"February 12, 2024",Electricity 2754,error,debit
05-May-2023,Gym 7830,4353.99,credit
08/19/2022 00:00,Uber 5239,794.07,debit
10-Feb-2022,Gym 9165,1240.62,debit
28-Jan-2022,Uber 8169,1039.72,debit
05/15/2022 00:00,Gym 8415,4896.4,debit
07/20/2022 00:00,Salary 9390,4266.73,credit
"April 19, 2024",Salary 9314,3748.01,credit
02/19/2024 00:00,Zomato 4021,1946.67,
02-Feb-2022,Uber 7577,43.73,credit
2022-02-17,Amazon 5735,4839.58₹,credit
2023-05-18,Swiggy 9963,1024.52,
02/11/2023 00:00,Uber 1769,338.16,Debit
07/28/2023 00:00,Electricity 2789,1907.62,debit
2023-12-29,Salary 7725,1400.74,debit
"March 15, 2024",Rent 9231,4720.87,debit
2022-04-09,Zomato 4915,146.1,credit
2023-11-15,Amazon 4992,4894.44,credit
2024-05-21,Zomato 5643,2937.72₹,Debit
2023-12-27,Uber 3876,error,debit
01-Jul-2023,Uber 5957,4341.92,
09-Jan-2024,Flipkart 9733,2091.28,Debit
2023-09-05,Amazon 6101,2667.61,
"April 07, 2023",Uber 4954,722.01,Debit
"October 05, 2023",Zomato 9605,4402.78,Debit
2024-02-08,Electricity 5536,4392.66,Credit
05-Jan-2022,Flipkart 9283,3760.78,credit
"August 06, 2022",Amazon 7079,3632.76,credit
18-May-2023,Gym 9881,1009.18,credit
06-Feb-2024,Flipkart 9976,error,credit
02-Feb-2023,Uber 5288,468.63,Credit
05/20/2024 00:00,Amazon 6255,2961.53,debit
2024-03-05,Swiggy 8443,1063.61,Debit
2023-01-28,Electricity 4087,1499.66,debit
2022-07-26,Rent 6408,4080.02,
2022-01-15,Amazon 5745,4925.73,credit
07-May-2024,Rent 9548,1905.04,credit
08-Jul-2023,Swiggy 1074,error,Credit
2024-06-10,Salary 2279,668.67,Debit
2023-04-06,Amazon 4403,2649.12,Credit
"November 22, 2023",Swiggy 7825,2760.59₹,debit
29-Jul-2023,Gym 3301,4442.2,Debit
"May 13, 2024",Flipkart 9770,1214.55,debit
01/13/2024 00:00,Salary 4266,330.4,
29-Aug-2022,Swiggy 5738,1755.88,Debit
2023-07-18,Uber 6211,3733.57,debit
"April 06, 2022",Amazon 6067,239.52₹,credit
2024-06-18,Zomato 9182,739.08,Debit
"January 04, 2024",Salary 3212,236.43,credit
30-Apr-2023,Swiggy 8147,2487.29,debit
02/11/2023 00:00,Amazon 7253,4126.7,Credit
"August 19, 2022",Zomato 6139,1339.84,credit
2024-01-19,Swiggy 2641,166.84,credit
"October 17, 2023",Gym 5566,890.66,Debit
"June 20, 2022",Swiggy 9280,427.87,
06/25/2023 00:00,Flipkart 2469,2771.77,credit
05-Feb-2022,Rent 6793,2505.67,debit
06/09/2023 00:00,Salary 1049,1232.81,
"June 09, 2022",Flipkart 4665,4212.87,credit
"April 18, 2024",Electricity 2085,2060.06,Debit
"November 30, 2023",Gym 4371,4845.69,credit
2022-08-31,Flipkart 2630,1173.38₹,debit
2022-03-27,Gym 2003,3116.51,debit
"March 06, 2024",Electricity 1532,3979.59,Credit
08/01/2023 00:00,Zomato 9971,953.52,Debit
11/13/2023 00:00,Salary 4722,3968.37,Credit
07/11/2023 00:00,Flipkart 5170,error,
"July 28, 2023",Uber 1807,3341.94,debit
"October 08, 2023",Gym 2090,4480.69,credit
06-Mar-2024,Amazon 7995,1968.42,Debit
01/28/2022 00:00,Electricity 4377,2014.78₹,Debit
"September 12, 2023",Zomato 6409,101.97,credit
"July 10, 2023",Amazon 9798,3996.92,debit
2022-12-06,Amazon 7826,175.26,
03/08/2024 00:00,Rent 2515,1326.75,
"November 27, 2022",Salary 5267,3104.99,Debit
10/02/2023 00:00,Rent 6547,3042.36,
2023-05-21,Swiggy 8970,2407.57,Debit
14-Dec-2022,Zomato 1851,3092.12,debit
2023-04-18,Gym 6800,1618.03,credit
08/19/2022 00:00,Amazon 9757,error,credit
09-Jul-2022,Electricity 5307,1471.96,
2022-08-13,Flipkart 7006,1245.32,credit
01/20/2023 00:00,Zomato 4939,2151.35,
2023-01-12,Amazon 2499,3793.77,debit
"October 10, 2022",Salary 7967,1632.65,Credit
09/25/2023 00:00,Amazon 3174,1785.42,
20-Sep-2023,Salary 4742,3490.2,credit
2024-01-15,Amazon 6934,4567.22,credit
2022-09-16,Swiggy 2253,1308.92,debit
"December 25, 2022",Amazon 9624,3680.88,Debit
11-Dec-2023,Amazon 6524,3122.87,Debit
"April 01, 2023",Flipkart 8795,2611.04,debit
02/15/2023 00:00,Uber 9802,105.26,debit
10/11/2023 00:00,Uber 5656,1909.91,Debit
2022-11-14,Gym 8350,1034.84,debit
"November 08, 2023",Electricity 8405,709.52,debit
08/13/2022 00:00,Amazon 6245,1384.77,Credit
2024-03-29,Uber 7780,3268.73,
22-Aug-2022,Gym 2218,2696.9,Debit
2023-11-15,Electricity 1878,2190.35,debit
"October 26, 2023",Rent 5682,733.87,Credit
06-Apr-2024,Rent 9332,3893.65,
01/09/2023 00:00,Salary 3633,2410.79,Debit
"November 03, 2023",Salary 1942,3229.57,credit
08/31/2023 00:00,Swiggy 7760,193.69,debit
"April 17, 2023",Gym 4716,4462.56,
21-Aug-2022,Salary 2346,error,
11/23/2023 00:00,Rent 3567,1753.72,credit
2022-04-23,Swiggy 7728,4136.32,
"April 09, 2024",Flipkart 3551,4060.61,
2023-05-12,Flipkart 2213,1108.02,credit
2023-03-18,Salary 7731,1861.78,debit
"July 18, 2023",Gym 6510,3031.77,Credit
2022-09-25,Swiggy 8469,4992.95,credit
05/25/2023 00:00,Zomato 2898,3934.38₹,credit
2024-03-17,Amazon 1037,258.98,Debit
"January 21, 2023",Swiggy 8468,3683.81,debit
22-Jan-2023,Salary 3135,2458.42,Credit
04/23/2022 00:00,Amazon 3994,101.34,credit
09/05/2023 00:00,Amazon 1979,2269.67,Credit
"September 17, 2023",Rent 1953,1643.69,credit
03/22/2022 00:00,Uber 8581,530.84,Credit
"November 30, 2023",Electricity 4641,2670.85,Debit
"April 23, 2022",Rent 3874,4709.03,credit
2022-01-02,Gym 3369,4374.66,Credit
2023-10-04,Rent 2331,2806.85,debit
08/08/2022 00:00,Swiggy 5104,1041.15,debit
20-Jul-2023,Flipkart 6788,582.05,debit
04-May-2024,Zomato 5972,3422.14,
"January 06, 2024",Amazon 5789,1965.82,credit
2022-08-13,Flipkart 8810,2614.29,debit
"January 20, 2023",Rent 8686,3889.65,Credit
2023-02-07,Amazon 2764,3017.03,Credit
2023-09-30,Gym 4170,392.86,Debit
"May 10, 2022",Flipkart 4895,4930.32,Credit
2022-02-22,Rent 3962,728.23,debit
11/15/2023 00:00,Uber 6989,4900.64,Debit
12/31/2023 00:00,Flipkart 3642,2543.37,Credit
11/03/2023 00:00,Salary 7998,4195.93,Debit
11-Dec-2023,Rent 1067,628.58,debit
02/20/2023 00:00,Zomato 8010,4307.97₹,credit
09/04/2022 00:00,Flipkart 6144,655.78,
04/15/2024 00:00,Amazon 6943,4451.49,debit
2023-03-15,Flipkart 5765,2218.86,Debit
"July 22, 2022",Uber 1927,4308.45,Debit
"July 03, 2022",Uber 4626,1385.76,Debit
03-May-2022,Swiggy 6106,3543.99,Debit
05-Feb-2023,Swiggy 2568,3872.42,credit
2024-02-06,Salary 9946,2504.35,Credit
"October 21, 2022",Flipkart 9773,4325.81,
07-Oct-2022,Zomato 2994,3417.67,Debit
16-Apr-2024,Uber 7759,1579.64,Debit
2024-06-02,Salary 9139,error,credit
2023-09-02,Zomato 1520,1706.19,Credit
